ip,mac,flag
10.64.84.253,00:01:a4:ab:90:8a,perm_remote
10.64.84.255,00:01:a4:ab:91:d2,perm_remote
10.64.85.0,00:01:a4:ab:91:d1,perm_remote
10.64.85.2,00:01:a4:ab:90:8b,none
10.64.85.3,00:01:a4:ab:99:53,perm_remote
10.64.85.4,00:01:a4:ab:92:fa,none
10.64.85.5,00:01:a4:ab:91:8a,perm_remote
10.64.85.7,00:01:a4:ab:97:8a,perm_remote
10.64.85.9,00:01:a4:ab:99:3a,perm_remote
10.64.85.10,00:1a:4a:56:5c:9b,perm_remote
10.64.85.11,00:01:a4:ab:8e:c3,none
10.64.85.12,00:01:a4:ab:8d:8e,none
10.64.85.13,00:01:a4:ab:99:b7,none
10.64.85.14,00:01:a4:ab:90:e8,none
10.64.85.17,00:01:a4:ab:9c:de,none
10.64.85.18,00:25:b5:d3:04:c8,perm_remote
10.64.85.22,00:25:b5:d3:04:c4,none
10.64.85.23,00:01:a4:ab:8e:bc,none
10.64.85.27,00:1a:4a:56:43:c4,perm_remote
10.64.85.29,00:1a:4a:56:e2:99,perm_remote
10.64.85.30,00:01:a4:ab:9b:cc,perm_remote
10.64.85.33,00:01:a4:ab:99:ba,none
10.64.85.34,00:01:a4:ab:8e:b3,none
10.64.85.39,00:1a:4a:56:e2:94,perm_remote
10.64.85.40,00:01:a4:ab:8d:48,none
10.64.85.41,00:01:a4:ab:8d:d2,none
10.64.85.42,00:01:a4:ab:98:68,none
10.64.85.43,00:01:a4:ab:90:85,perm_remote
10.64.85.45,00:01:a4:ab:9b:e9,none
10.64.85.46,00:1a:4a:56:e3:ce,none
10.64.85.47,00:01:a4:ab:8d:1e,perm_remote
10.64.85.48,00:01:a4:ab:91:f3,none
10.64.85.49,00:01:a4:ab:99:a7,none
10.64.85.50,00:01:a4:ab:91:f4,none
10.64.85.51,00:1a:4a:56:e3:eb,perm_remote
10.64.85.52,00:01:a4:ab:90:a3,perm_remote
10.64.85.53,00:01:a4:ab:99:a6,perm_remote
10.64.85.54,00:01:a4:ab:90:a4,none
10.64.85.56,00:01:a4:ab:91:db,none
10.64.85.59,00:01:a4:ab:91:cf,none
10.64.85.60,00:01:a4:ab:99:ab,perm_remote
10.64.85.61,00:01:a4:ab:9b:a9,none
10.64.85.63,00:01:a4:ab:90:2d,none
10.64.85.64,00:01:a4:ab:90:ad,perm_remote
10.64.85.65,00:01:a4:ab:90:2e,none
10.64.85.66,00:01:a4:ab:90:2f,perm_remote
10.64.85.67,00:01:a4:ab:8d:23,none
10.64.85.68,00:01:a4:ab:8d:1d,perm_remote
10.64.85.70,00:01:a4:ab:91:b7,none
10.64.85.71,00:01:a4:ab:8d:15,perm_remote
10.64.85.74,00:25:b5:d3:05:86,none
10.64.85.78,00:01:a4:ab:98:d6,perm_remote
10.64.85.80,00:01:a4:ab:8d:77,none
10.64.85.82,00:01:a4:ab:99:74,perm_remote
10.64.85.83,00:01:a4:ab:99:ea,perm_remote
10.64.85.84,00:01:a4:ab:98:d8,none
10.64.85.88,00:01:a4:ab:9b:b5,perm_remote
10.64.85.89,00:01:a4:ab:91:cc,none
10.64.85.91,00:01:a4:ab:93:bc,perm_remote
10.64.85.92,00:01:a4:ab:9c:83,perm_remote
10.64.85.93,00:25:b5:d3:02:d7,none
10.64.85.97,00:1a:4a:56:e8:4b,perm_remote
10.64.85.99,00:25:b5:d3:04:c3,none
10.64.85.102,00:1a:4a:56:e8:95,perm_remote
10.64.85.103,00:25:b5:d3:05:86,none
10.64.85.104,00:25:b5:d3:05:88,perm_remote
10.64.85.105,00:25:b5:d3:05:86,none
10.64.85.106,00:1a:4a:56:e8:85,perm_remote
10.64.85.108,00:01:a4:ab:9a:05,perm_remote
10.64.85.110,00:1a:4a:56:e8:86,perm_remote
10.64.85.111,00:01:a4:ab:9c:ab,perm_remote
10.64.85.112,00:01:a4:ab:93:41,perm_remote
10.64.85.114,00:1a:4a:56:e8:57,perm_remote
10.64.85.116,00:01:a4:ab:93:42,perm_remote
10.64.85.117,00:1a:4a:56:e8:44,perm_remote
10.64.85.118,00:01:a4:ab:93:40,none
10.64.85.119,00:1a:4a:56:e8:56,perm_remote
10.64.85.120,00:01:a4:ab:9a:08,perm_remote
10.64.85.121,00:01:a4:ab:93:22,perm_remote
10.64.85.122,00:01:a4:ab:8d:a9,none
10.64.85.124,00:1a:4a:56:e8:87,none
10.64.85.125,00:01:a4:ab:93:2f,none
10.64.85.126,00:01:a4:ab:98:d9,perm_remote
10.64.85.127,00:01:a4:ab:8d:a7,perm_remote
10.64.85.128,00:01:a4:ab:9c:c0,perm_remote
10.64.85.130,00:01:a4:ab:93:be,none
10.64.85.131,00:1a:4a:56:e2:59,perm_remote
10.64.85.132,00:01:a4:ab:95:a3,perm_remote
10.64.85.134,00:01:a4:ab:91:62,perm_remote
10.64.85.137,00:1a:4a:56:e8:59,perm_remote
10.64.85.138,00:1a:4a:56:e1:88,none
10.64.85.140,00:01:a4:ab:9c:ae,none
10.64.85.149,00:1a:4a:56:e8:25,none
10.64.85.150,00:01:a4:ab:9a:01,perm_remote
10.64.85.160,00:1a:4a:56:e8:62,none
10.64.85.163,00:01:a4:ab:9a:30,none
10.64.85.165,00:01:a4:ab:9a:1e,perm_remote
10.64.85.167,00:01:a4:ab:9a:22,perm_remote
10.64.85.168,00:01:a4:ab:9a:27,none
10.64.85.171,00:01:a4:ab:9a:29,perm_remote
10.64.85.172,00:01:a4:ab:9a:23,perm_remote
10.64.85.173,00:01:a4:ab:9a:28,none
10.64.85.174,00:01:a4:ab:9a:21,perm_remote
10.64.85.178,00:1a:4a:56:e8:3d,perm_remote
10.64.85.179,00:01:a4:ab:9a:26,perm_remote
10.64.85.181,00:01:a4:ab:9a:2a,perm_remote
10.64.85.182,00:01:a4:ab:8d:e7,perm_remote
10.64.85.183,00:01:a4:ab:9a:25,perm_remote
10.64.85.184,00:1a:4a:56:e3:ee,perm_remote
10.64.85.185,00:01:a4:ab:9a:2c,none
10.64.85.186,00:1a:4a:56:e8:35,perm_remote
10.64.85.187,00:01:a4:ab:9a:2b,none
10.64.85.188,00:01:a4:ab:9a:2d,perm_remote
10.64.85.189,00:01:a4:ab:93:95,none
10.64.85.192,00:01:a4:ab:9a:40,none
10.64.85.196,00:01:a4:ab:99:63,perm_remote
10.64.85.197,00:01:a4:ab:9c:85,none
10.64.85.198,00:01:a4:ab:99:65,none
10.64.85.208,00:1a:4a:56:e2:06,perm_remote
10.64.85.209,00:01:a4:ab:96:31,none
10.64.85.210,00:1a:4a:56:e3:f5,perm_remote
10.64.85.211,00:01:a4:ab:9a:5c,none
10.64.85.212,00:1a:4a:56:e3:f4,perm_remote
10.64.85.213,00:01:a4:ab:98:4b,perm_remote
10.64.85.214,00:01:a4:ab:9a:9b,perm_remote
10.64.85.216,00:1a:4a:56:e8:82,perm_remote
10.64.85.218,00:01:a4:ab:91:4f,perm_remote
10.64.85.220,00:1a:4a:56:e2:4a,perm_remote
10.64.85.221,00:1a:4a:56:e2:60,none
10.64.85.222,00:1a:4a:56:e8:80,none
10.64.85.224,00:01:a4:ab:93:c1,none
10.64.85.226,00:01:a4:ab:91:4e,none
10.64.85.227,00:01:a4:ab:9c:b2,none
10.64.85.228,00:01:a4:ab:93:c8,perm_remote
10.64.85.229,00:01:a4:ab:9a:13,none
10.64.85.230,00:01:a4:ab:93:c7,perm_remote
10.64.85.231,00:1a:4a:56:e8:26,none
10.64.85.232,00:01:a4:ab:9c:bf,none
10.64.85.233,00:01:a4:ab:9a:51,perm_remote
10.64.85.234,00:01:a4:ab:9c:fc,perm_remote
10.64.85.235,00:25:b5:d3:05:86,none
10.64.85.236,00:1a:4a:56:e2:54,perm_remote
10.64.85.237,00:01:a4:ab:9c:fd,none
10.64.85.238,00:25:b5:d3:05:88,perm_remote
10.64.85.239,00:01:a4:ab:8e:d7,none
10.64.85.241,00:01:a4:ab:93:08,none
10.64.85.243,00:1a:4a:56:e8:23,perm_remote
10.64.85.245,00:01:a4:ab:8d:01,perm_remote
10.64.85.246,00:01:a4:ab:96:29,none
10.64.85.247,00:01:a4:ab:8f:fb,perm_remote
10.64.85.248,00:01:a4:ab:8c:fd,none
10.64.85.249,00:01:a4:ab:95:b4,perm_remote
10.64.85.250,00:25:b5:d3:04:c6,none
10.64.85.251,00:1a:4a:56:e8:24,perm_remote
10.64.85.252,00:1a:4a:56:e3:fe,none
10.64.85.253,00:1a:4a:56:e3:d8,perm_remote
10.64.86.11,00:01:a4:ab:53:b7,perm_remote
10.64.86.50,00:01:a4:ab:53:b8,perm_remote
10.64.86.51,00:1a:4a:56:5c:2c,perm_remote
10.64.86.56,00:1a:4a:56:43:a2,perm_remote
10.64.86.57,00:1a:4a:56:04:86,perm_remote
10.64.86.58,00:01:a4:ab:1a:08,none
10.64.86.59,00:1a:4a:56:18:5b,none
10.64.86.61,00:1a:4a:56:5c:87,none
10.64.86.62,00:1a:4a:56:04:8c,none
10.64.86.63,00:1a:4a:56:43:c1,perm_remote
10.64.86.65,00:1a:4a:56:01:e2,perm_remote
10.64.86.67,00:1a:4a:56:04:8d,perm_remote
10.64.86.68,00:1a:4a:56:01:e3,perm_remote
10.64.86.70,00:1a:4a:56:04:8f,none
10.64.86.72,00:1a:4a:56:5c:02,none
10.64.86.73,00:1a:4a:56:01:e5,none
10.64.86.74,00:1a:4a:56:0d:02,none
10.64.86.75,00:1a:4a:56:0d:1b,perm_remote
10.64.86.76,00:1a:4a:56:5c:16,none
10.64.86.77,00:1a:4a:56:c6:fe,perm_remote
10.64.86.79,00:1a:4a:56:04:93,none
10.64.86.80,00:1a:4a:56:5c:18,perm_remote
10.64.86.81,00:1a:4a:56:04:92,perm_remote
10.64.86.86,00:1a:4a:56:18:5c,none
10.64.86.87,00:1a:4a:56:01:f2,none
10.64.86.90,00:01:a4:ab:1a:2a,perm_remote
10.64.86.91,00:1a:4a:56:04:98,none
10.64.86.94,00:1a:4a:56:01:f7,perm_remote
10.64.86.96,00:1a:4a:56:01:f8,perm_remote
10.64.86.97,00:01:a4:ab:f0:77,perm_remote
10.64.86.98,00:1a:4a:56:b0:ff,perm_remote
10.64.86.99,00:1a:4a:56:04:9b,none
10.64.86.100,00:1a:4a:56:18:48,none
10.64.86.101,00:1a:4a:56:04:99,perm_remote
10.64.86.102,00:1a:4a:56:18:1b,none
10.64.86.104,00:1a:4a:56:5c:44,perm_remote
10.64.86.105,00:1a:4a:56:01:ff,perm_remote
10.64.86.108,00:01:a4:ab:f0:58,perm_remote
10.64.86.109,00:1a:4a:56:04:9c,none
10.64.86.110,00:1a:4a:56:a4:67,perm_remote
10.64.86.112,00:1a:4a:56:04:a7,none
10.64.86.113,00:1a:4a:56:04:a6,perm_remote
10.64.86.114,00:1a:4a:56:02:05,none
10.64.86.116,00:1a:4a:56:02:06,none
10.64.86.117,00:1a:4a:56:04:a2,perm_remote
10.64.86.118,00:1a:4a:56:02:09,none
10.64.86.119,00:1a:4a:56:02:1c,perm_remote
10.64.86.120,00:1a:4a:56:02:0a,none
10.64.86.122,00:01:a4:ab:e9:ea,perm_remote
10.64.86.123,00:1a:4a:56:5c:a9,perm_remote
10.64.86.124,00:1a:4a:56:3e:dc,none
10.64.86.126,00:1a:4a:56:18:2c,none
10.64.86.127,00:1a:4a:56:04:ac,none
10.64.86.128,00:01:a4:ab:f0:15,none
10.64.86.130,00:1a:4a:56:00:81,none
10.64.86.132,00:1a:4a:56:04:ab,none
10.64.86.133,00:01:a4:ab:e9:ef,none
10.64.86.134,00:01:a4:ab:1a:45,perm_remote
10.64.86.135,00:01:a4:ab:1a:43,none
10.64.86.137,00:1a:4a:56:c6:de,perm_remote
10.64.86.138,00:1a:4a:56:02:19,none
10.64.86.140,00:01:a4:ab:1a:44,none
10.64.86.141,00:1a:4a:56:c6:e7,none
10.64.86.144,00:1a:4a:56:03:f9,perm_remote
10.64.86.145,00:01:a4:ab:1a:46,perm_remote
10.64.86.146,00:1a:4a:56:04:69,perm_remote
10.64.86.147,00:01:a4:ab:5f:6e,none
10.64.86.148,00:1a:4a:56:04:6c,perm_remote
10.64.86.149,00:1a:4a:56:43:53,perm_remote
10.64.86.151,00:01:a4:ab:e9:d5,perm_remote
10.64.86.152,00:1a:4a:56:01:5f,none
10.64.86.155,00:1a:4a:56:01:7c,none
10.64.86.157,00:1a:4a:56:01:e8,perm_remote
10.64.86.158,00:01:a4:ab:f0:20,perm_remote
10.64.86.160,00:1a:4a:56:01:e9,none
10.64.86.161,00:01:a4:ab:09:80,none
10.64.86.162,00:01:a4:ab:f0:22,none
10.64.86.163,00:01:a4:ab:f0:7c,perm_remote
10.64.86.165,00:1a:4a:56:02:27,perm_remote
10.64.86.166,00:1a:4a:56:02:2f,perm_remote
10.64.86.167,00:01:a4:ab:09:85,perm_remote
10.64.86.168,00:1a:4a:56:01:82,none
10.64.86.169,00:01:a4:ab:09:81,perm_remote
10.64.86.170,00:01:a4:ab:09:2d,none
10.64.86.172,00:01:a4:ab:f0:97,none
10.64.86.173,00:01:a4:ab:09:6f,perm_remote
10.64.86.174,00:01:a4:ab:53:f9,none
10.64.86.175,00:1a:4a:56:02:51,none
10.64.86.176,00:01:a4:ab:53:cd,none
10.64.86.177,00:01:a4:ab:f0:47,perm_remote
10.64.86.178,00:01:a4:ab:e9:e9,perm_remote
10.64.86.179,00:1a:4a:56:02:30,perm_remote
10.64.86.180,00:01:a4:ab:09:57,perm_remote
10.64.86.181,00:01:a4:ab:09:2a,none
10.64.86.182,00:1a:4a:56:01:81,none
10.64.86.183,00:01:a4:ab:e9:dd,perm_remote
10.64.86.184,00:01:a4:ab:f0:52,none
10.64.86.185,00:1a:4a:56:04:b0,none
10.64.86.186,00:01:a4:ab:f0:45,none
10.64.86.187,00:01:a4:ab:f0:51,none
10.64.86.188,00:01:a4:ab:1a:1f,none
10.64.86.189,00:01:a4:ab:f0:48,perm_remote
10.64.86.190,00:01:a4:ab:e9:db,none
10.64.86.192,00:01:a4:ab:09:41,none
10.64.86.193,00:1a:4a:56:04:9a,perm_remote
10.64.86.194,00:01:a4:ab:f0:46,none
10.64.86.195,00:01:a4:ab:1a:38,none
10.64.86.196,00:1a:4a:56:02:66,none
10.64.86.197,00:01:a4:ab:09:40,perm_remote
10.64.86.198,00:1a:4a:56:04:b1,perm_remote
10.64.86.199,00:01:a4:ab:f0:3f,perm_remote
10.64.86.200,00:1a:4a:56:04:af,none
10.64.86.202,00:01:a4:ab:1a:37,none
10.64.86.206,00:01:a4:ab:5f:90,none
10.64.86.208,00:01:a4:ab:53:f4,perm_remote
10.64.86.209,00:01:a4:ab:53:f0,perm_remote
10.64.86.211,00:1a:4a:56:02:95,perm_remote
10.64.86.212,00:01:a4:ab:09:1e,none
10.64.86.213,00:01:a4:ab:1a:63,none
10.64.86.216,00:1a:4a:56:02:b5,perm_remote
10.64.86.218,00:1a:4a:56:02:ae,perm_remote
10.64.86.219,00:01:a4:ab:1a:69,perm_remote
10.64.86.220,00:1a:4a:56:02:bf,none
10.64.86.221,00:1a:4a:56:02:bd,perm_remote
10.64.86.222,00:1a:4a:56:04:b5,perm_remote
10.64.86.223,00:1a:4a:56:02:3e,none
10.64.86.225,00:1a:4a:56:02:f6,perm_remote
10.64.86.226,00:01:a4:ab:1a:3e,perm_remote
10.64.86.227,00:1a:4a:56:04:b6,perm_remote
10.64.86.228,00:1a:4a:56:03:02,none
10.64.86.230,00:1a:4a:56:03:06,none
10.64.86.231,00:1a:4a:56:03:07,perm_remote
10.64.86.232,00:1a:4a:56:04:b9,perm_remote
10.64.86.234,00:01:a4:ab:f0:27,perm_remote
10.64.86.235,00:1a:4a:56:03:17,perm_remote
10.64.86.236,00:1a:4a:56:04:b8,none
10.64.86.237,00:1a:4a:56:03:21,none
10.64.86.238,00:01:a4:ab:f0:30,perm_remote
10.64.86.239,00:1a:4a:56:04:b7,none
10.64.86.240,00:1a:4a:56:03:28,perm_remote
10.64.86.242,00:1a:4a:56:03:29,none
10.64.86.244,00:1a:4a:56:03:34,perm_remote
10.64.86.245,00:01:a4:ab:1a:51,perm_remote
10.64.86.247,00:01:a4:ab:14:0c,none
10.64.86.252,00:1a:4a:56:03:77,perm_remote
10.64.86.254,00:01:a4:ab:53:f7,perm_remote
10.64.87.0,00:1a:4a:56:03:8b,none
10.64.87.5,00:1a:4a:56:3e:f8,none
10.64.87.6,00:01:a4:ab:53:f8,perm_remote
10.64.87.10,00:1a:4a:56:03:9d,perm_remote
10.64.87.11,00:1a:4a:56:00:1c,none
10.64.87.13,00:01:a4:ab:53:f3,perm_remote
10.64.87.16,00:01:a4:ab:09:29,none
10.64.87.17,00:1a:4a:56:00:1f,none
10.64.87.19,00:1a:4a:56:03:bd,perm_remote
10.64.87.20,00:1a:4a:56:03:ae,perm_remote
10.64.87.21,00:01:a4:ab:f0:24,perm_remote
10.64.87.23,00:1a:4a:56:03:bc,none
10.64.87.25,00:01:a4:ab:f0:23,perm_remote
10.64.87.26,00:1a:4a:56:03:be,perm_remote
10.64.87.27,00:1a:4a:56:00:29,none
10.64.87.31,00:01:a4:ab:09:16,none
10.64.87.33,00:1a:4a:56:00:24,none
10.64.87.35,00:01:a4:ab:09:0b,perm_remote
10.64.87.37,00:1a:4a:56:00:14,none
10.64.87.38,00:1a:4a:56:03:ce,perm_remote
10.64.87.42,00:1a:4a:56:a4:29,perm_remote
10.64.87.43,00:1a:4a:56:b0:e3,perm_remote
10.64.87.44,00:1a:4a:56:b0:e1,none
10.64.87.45,00:1a:4a:56:00:1e,none
10.64.87.46,00:1a:4a:56:00:25,perm_remote
10.64.87.48,00:1a:4a:56:a4:1e,none
10.64.87.49,00:1a:4a:56:00:26,perm_remote
10.64.87.50,00:1a:4a:56:a4:1c,perm_remote
10.64.87.51,00:1a:4a:56:00:31,perm_remote
10.64.87.52,00:1a:4a:56:a4:1b,perm_remote
10.64.87.53,00:1a:4a:56:00:32,perm_remote
10.64.87.54,00:1a:4a:56:a4:1a,none
10.64.87.55,00:1a:4a:56:a4:26,perm_remote
10.64.87.56,00:1a:4a:56:00:10,none
10.64.87.57,00:1a:4a:56:03:e3,none
10.64.87.59,00:1a:4a:56:03:e2,perm_remote
10.64.87.61,00:1a:4a:56:b0:d5,none
10.64.87.62,00:1a:4a:56:03:e7,none
10.64.87.63,00:01:a4:ab:f0:13,perm_remote
10.64.87.64,00:1a:4a:56:00:53,none
10.64.87.65,00:1a:4a:56:a4:20,none
10.64.87.67,00:01:a4:ab:f0:14,perm_remote
10.64.87.68,00:1a:4a:56:03:e9,perm_remote
10.64.87.69,00:1a:4a:56:3e:a3,none
10.64.87.71,00:1a:4a:56:b0:d0,perm_remote
10.64.87.72,00:1a:4a:56:00:15,perm_remote
10.64.87.73,00:1a:4a:56:a4:39,none
10.64.87.76,00:1a:4a:56:00:0f,perm_remote
10.64.87.80,00:1a:4a:56:00:33,perm_remote
10.64.87.81,00:1a:4a:56:00:5c,none
10.64.87.82,00:1a:4a:56:03:f8,none
10.64.87.83,00:1a:4a:56:a4:98,none
10.64.87.84,00:1a:4a:56:00:5f,none
10.64.87.86,00:1a:4a:56:03:f6,perm_remote
10.64.87.87,00:1a:4a:56:3e:a7,none
10.64.87.88,00:1a:4a:56:5c:ee,perm_remote
10.64.87.89,00:1a:4a:56:00:6e,perm_remote
10.64.87.90,00:1a:4a:56:03:f7,none
10.64.87.91,00:1a:4a:56:3e:a9,perm_remote
10.64.87.93,00:1a:4a:56:00:6d,perm_remote
10.64.87.94,00:1a:4a:56:3e:a8,none
10.64.87.96,00:1a:4a:56:00:72,perm_remote
10.64.87.97,00:1a:4a:56:3e:ae,perm_remote
10.64.87.98,00:1a:4a:56:00:7f,none
10.64.87.99,00:1a:4a:56:a4:0e,none
10.64.87.103,00:1a:4a:56:3e:c4,perm_remote
10.64.87.105,00:01:a4:ab:53:a2,none
10.64.87.112,00:01:a4:ab:00:0a,none
10.64.87.118,00:01:a4:ab:00:0c,perm_remote
10.64.87.120,00:1a:4a:56:03:65,none
10.64.87.122,00:1a:4a:56:00:ac,perm_remote
10.64.87.124,00:1a:4a:56:00:ae,none
10.64.87.128,00:1a:4a:56:03:9a,perm_remote
10.64.87.130,00:1a:4a:56:00:b4,perm_remote
10.64.87.134,00:1a:4a:56:00:cb,perm_remote
10.64.87.136,00:1a:4a:56:00:c8,perm_remote
10.64.87.141,00:1a:4a:56:00:c9,none
10.64.87.144,00:1a:4a:56:00:ca,none
10.64.87.145,00:1a:4a:56:00:b2,none
10.64.87.146,00:1a:4a:56:03:af,none
10.64.87.148,00:1a:4a:56:03:ad,perm_remote
10.64.87.150,00:1a:4a:56:00:ce,none
10.64.87.152,00:1a:4a:56:00:d1,none
10.64.87.154,00:1a:4a:56:01:17,none
10.64.87.156,00:1a:4a:56:01:19,perm_remote
10.64.87.157,00:1a:4a:56:03:b2,perm_remote
10.64.87.158,00:1a:4a:56:01:1b,none
10.64.87.160,00:1a:4a:56:01:1c,none
10.64.87.161,00:1a:4a:56:01:1d,perm_remote
10.64.87.162,00:1a:4a:56:03:c1,perm_remote
10.64.87.163,00:1a:4a:56:03:b5,perm_remote
10.64.87.164,00:1a:4a:56:01:1f,none
10.64.87.166,00:1a:4a:56:01:20,none
10.64.87.167,00:1a:4a:56:03:c7,none
10.64.87.168,00:1a:4a:56:01:21,perm_remote
10.64.87.169,00:1a:4a:56:04:0f,perm_remote
10.64.87.170,00:1a:4a:56:01:22,perm_remote
10.64.87.171,00:1a:4a:56:01:2f,none
10.64.87.172,00:1a:4a:56:01:25,perm_remote
10.64.87.174,00:1a:4a:56:01:27,none
10.64.87.175,00:1a:4a:56:01:31,perm_remote
10.64.87.176,00:1a:4a:56:01:28,none
10.64.87.177,00:1a:4a:56:03:ca,perm_remote
10.64.87.178,00:1a:4a:56:01:29,perm_remote
10.64.87.179,00:1a:4a:56:01:33,none
10.64.87.180,00:1a:4a:56:01:2b,none
10.64.87.181,00:1a:4a:56:01:3b,none
10.64.87.182,00:1a:4a:56:01:2c,none
10.64.87.183,00:1a:4a:56:01:34,none
10.64.87.184,00:1a:4a:56:04:10,perm_remote
10.64.87.185,00:1a:4a:56:01:3c,none
10.64.87.187,00:1a:4a:56:01:3d,perm_remote
10.64.87.188,00:1a:4a:56:04:11,none
10.64.87.189,00:1a:4a:56:01:3e,perm_remote
10.64.87.191,00:1a:4a:56:01:3f,none
10.64.87.192,00:1a:4a:56:04:12,none
10.64.87.193,00:1a:4a:56:01:40,none
10.64.87.195,00:1a:4a:56:01:41,perm_remote
10.64.87.196,00:1a:4a:56:04:14,perm_remote
10.64.87.197,00:1a:4a:56:01:42,perm_remote
10.64.87.198,00:1a:4a:56:04:17,perm_remote
10.64.87.199,00:1a:4a:56:01:44,none
10.64.87.200,00:1a:4a:56:04:15,none
10.64.87.201,00:1a:4a:56:01:48,none
10.64.87.202,00:1a:4a:56:01:4a,perm_remote
10.64.87.204,00:1a:4a:56:01:53,none
10.64.87.205,00:1a:4a:56:01:4c,none
10.64.87.206,00:1a:4a:56:04:13,perm_remote
10.64.87.207,00:1a:4a:56:01:50,none
10.64.87.208,00:1a:4a:56:01:56,perm_remote
10.64.87.209,00:1a:4a:56:04:18,perm_remote
10.64.87.210,00:1a:4a:56:01:58,none
10.64.87.213,00:1a:4a:56:01:5e,perm_remote
10.64.87.214,00:1a:4a:56:01:5b,none
10.64.87.216,00:1a:4a:56:02:01,none
10.64.87.217,00:1a:4a:56:04:68,perm_remote
10.64.87.218,00:1a:4a:56:02:12,none
10.64.87.220,00:1a:4a:56:01:60,none
10.64.87.221,00:1a:4a:56:04:6a,none
10.64.87.222,00:1a:4a:56:01:61,perm_remote
10.64.87.223,00:1a:4a:56:04:6e,none
10.64.87.224,00:1a:4a:56:01:72,perm_remote
10.64.87.226,00:1a:4a:56:01:73,none
10.64.87.227,00:1a:4a:56:04:6d,none
10.64.87.228,00:1a:4a:56:04:6f,perm_remote
10.64.87.231,00:1a:4a:56:01:a2,none
10.64.87.233,00:1a:4a:56:01:87,perm_remote
10.64.87.234,00:1a:4a:56:01:a6,none
10.64.87.236,00:1a:4a:56:01:a8,perm_remote
10.64.87.238,00:1a:4a:56:04:70,perm_remote
10.64.87.239,00:1a:4a:56:01:aa,none
10.64.87.240,00:1a:4a:56:04:71,none
10.64.87.241,00:1a:4a:56:01:ac,perm_remote
10.64.87.243,00:1a:4a:56:01:af,perm_remote
10.64.87.245,00:1a:4a:56:01:b1,perm_remote
10.64.87.249,00:1a:4a:56:01:b5,none
10.64.87.250,00:1a:4a:56:04:7b,perm_remote
10.64.87.251,00:1a:4a:56:01:b6,none
10.64.88.11,00:01:a4:ab:53:eb,perm_remote
10.64.88.50,00:1a:4a:56:01:f1,perm_remote
10.64.88.51,00:1a:4a:56:01:a7,perm_remote
10.64.88.52,00:1a:4a:56:01:f3,perm_remote
10.64.88.53,00:1a:4a:56:04:a8,perm_remote
10.64.88.55,00:1a:4a:56:01:f6,perm_remote
10.64.88.57,00:1a:4a:56:01:f9,perm_remote
10.64.88.58,00:1a:4a:56:04:a5,perm_remote
10.64.88.60,00:1a:4a:56:04:a3,perm_remote
10.64.88.63,00:1a:4a:56:01:fe,perm_remote
10.64.88.64,00:1a:4a:56:04:a9,perm_remote
10.64.88.65,00:1a:4a:56:02:00,none
10.64.88.67,00:1a:4a:56:04:ae,perm_remote
10.64.88.69,00:1a:4a:56:01:79,perm_remote
10.64.88.70,00:1a:4a:56:01:7d,none
10.64.88.71,00:1a:4a:56:02:07,none
10.64.88.73,00:1a:4a:56:02:08,none
10.64.88.74,00:1a:4a:56:01:5d,perm_remote
10.64.88.75,00:1a:4a:56:02:0b,perm_remote
10.64.88.77,00:1a:4a:56:02:21,perm_remote
10.64.88.78,00:1a:4a:56:01:7f,perm_remote
10.64.88.80,00:1a:4a:56:04:ba,perm_remote
10.64.88.82,00:1a:4a:56:04:bb,none
10.64.88.83,00:1a:4a:56:04:bc,perm_remote
10.64.88.88,00:1a:4a:56:04:be,perm_remote
10.64.88.89,00:1a:4a:56:02:43,none
10.64.88.90,00:1a:4a:56:01:e7,perm_remote
10.64.88.92,00:1a:4a:56:01:ea,perm_remote
10.64.88.94,00:1a:4a:56:02:53,perm_remote
10.64.88.96,00:1a:4a:56:02:56,perm_remote
10.64.88.100,00:1a:4a:56:02:5e,perm_remote
10.64.88.116,00:01:a4:ab:09:55,perm_remote
10.64.88.118,00:01:a4:ab:f0:5d,perm_remote
10.64.88.119,00:1a:4a:56:02:38,perm_remote
10.64.88.122,00:1a:4a:56:02:49,perm_remote
10.64.88.123,00:1a:4a:56:02:c0,perm_remote
10.64.88.125,00:1a:4a:56:02:a0,perm_remote
10.64.88.127,00:01:a4:ab:09:64,perm_remote
10.64.88.128,00:01:a4:ab:f0:5f,none
10.64.88.130,00:1a:4a:56:02:c3,perm_remote
10.64.88.131,00:01:a4:ab:1a:17,none
10.64.88.133,00:1a:4a:56:02:e1,none
10.64.88.135,00:1a:4a:56:00:21,perm_remote
10.64.88.137,00:01:a4:ab:1a:15,perm_remote
10.64.88.138,00:1a:4a:56:02:eb,perm_remote
10.64.88.139,00:01:a4:ab:1a:10,none
10.64.88.141,00:1a:4a:56:02:ec,perm_remote
10.64.88.143,00:1a:4a:56:02:f5,perm_remote
10.64.88.145,00:01:a4:ab:f0:75,none
10.64.88.146,00:1a:4a:56:02:fc,perm_remote
10.64.88.147,00:01:a4:ab:09:46,none
10.64.88.149,00:01:a4:ab:f0:4c,perm_remote
10.64.88.150,00:1a:4a:56:02:f9,perm_remote
10.64.88.151,00:01:a4:ab:e9:f2,none
10.64.88.153,00:01:a4:ab:f0:4b,perm_remote
10.64.88.154,00:1a:4a:56:03:0a,none
